timestamp,mem_used_mb,cpu_used_pct
2026-04-24T06:48:22+00:00,5238,12.2
2026-04-24T06:48:28+00:00,5268,50
2026-04-24T06:48:33+00:00,5243,7.2
2026-04-24T06:48:38+00:00,5232,9.7
2026-04-24T06:48:43+00:00,5167,5
2026-04-24T06:48:48+00:00,5165,22.5
2026-04-24T06:48:54+00:00,5182,4.8
2026-04-24T06:48:59+00:00,5182,19.5
2026-04-24T06:49:04+00:00,5217,22
2026-04-24T06:49:09+00:00,5034,7.2
2026-04-24T06:49:15+00:00,5318,61.9
2026-04-24T06:49:20+00:00,5176,2.4
2026-04-24T06:49:25+00:00,5167,4.8
2026-04-24T06:49:30+00:00,5176,4.8
2026-04-24T06:49:35+00:00,5136,7.3
2026-04-24T06:49:41+00:00,5031,35.9
2026-04-24T06:49:46+00:00,4987,2.4
2026-04-24T06:49:51+00:00,4970,2.5
2026-04-24T06:49:56+00:00,5144,38.4
2026-04-24T06:50:02+00:00,5160,7.3
2026-04-24T06:50:07+00:00,5157,2.5
2026-04-24T06:50:12+00:00,5108,2.5
2026-04-24T06:50:17+00:00,5034,2.5
2026-04-24T06:50:22+00:00,5026,4.8
2026-04-24T06:50:28+00:00,5025,2.4
2026-04-24T06:50:33+00:00,5029,7.3
2026-04-24T06:50:38+00:00,5042,5
2026-04-24T06:50:43+00:00,5033,4.8
2026-04-24T06:50:49+00:00,5045,60
2026-04-24T06:50:54+00:00,5048,32.5
2026-04-24T06:50:59+00:00,5032,7.3
2026-04-24T06:51:04+00:00,5037,21.4
2026-04-24T06:51:09+00:00,5052,7
2026-04-24T06:51:15+00:00,5052,45.2
2026-04-24T06:51:20+00:00,5329,41.5
2026-04-24T06:51:25+00:00,5217,26.8
2026-04-24T06:51:30+00:00,5205,24.4
2026-04-24T06:51:36+00:00,5146,4.6
2026-04-24T06:51:41+00:00,5129,30.2
2026-04-24T06:51:46+00:00,5136,2.4
2026-04-24T06:51:51+00:00,5074,7.2
2026-04-24T06:51:56+00:00,5075,7.2
2026-04-24T06:52:02+00:00,5079,9.6
2026-04-24T06:52:07+00:00,5221,40
2026-04-24T06:52:12+00:00,5161,4.8
2026-04-24T06:52:17+00:00,5146,9.4
2026-04-24T06:52:23+00:00,5152,2.4
2026-04-24T06:52:28+00:00,5093,0
2026-04-24T06:52:33+00:00,5086,2.4
2026-04-24T06:52:38+00:00,5085,7.5
2026-04-24T06:52:43+00:00,5086,7.2
2026-04-24T06:52:49+00:00,5068,7.2
2026-04-24T06:52:54+00:00,5074,9.6
2026-04-24T06:52:59+00:00,5069,5
2026-04-24T06:53:04+00:00,5191,15
2026-04-24T06:53:09+00:00,5212,12.9
2026-04-24T06:53:15+00:00,5210,14.3
2026-04-24T06:53:20+00:00,5174,2.5
2026-04-24T06:53:25+00:00,5118,2.5
2026-04-24T06:53:30+00:00,5098,4.8
2026-04-24T06:53:36+00:00,5106,9.5
2026-04-24T06:53:41+00:00,5097,56.1
